Date,Amount,Currency
2000-02-11,0.26,USD
2000-05-11,0.26,USD
2000-08-11,0.26,USD
2000-11-13,0.26,USD
2001-02-13,0.28,USD
2001-05-11,0.28,USD
2001-08-13,0.28,USD
2001-11-13,0.28,USD
2002-02-13,0.31,USD
2002-05-13,0.31,USD
2002-08-13,0.31,USD
2002-11-13,0.31,USD
2003-02-12,0.335,USD
2003-05-13,0.335,USD
2003-08-13,0.335,USD
2003-11-12,0.335,USD
2004-02-11,0.355,USD
2004-05-12,0.355,USD
2004-08-11,0.355,USD
2004-11-10,0.355,USD
2005-02-11,0.38,USD
2005-05-11,0.38,USD
2005-08-11,0.38,USD
2005-11-10,0.38,USD
2006-02-13,0.4,USD
2006-05-11,0.4,USD
2006-08-11,0.4,USD
2006-11-13,0.4,USD
2007-02-13,0.425,USD
2007-05-11,0.425,USD
2007-08-13,0.425,USD
2007-11-13,0.425,USD
2008-02-13,0.47,USD
2008-05-13,0.47,USD
2008-08-13,0.47,USD
2008-11-12,0.47,USD
2009-02-11,0.49,USD
2009-05-13,0.49,USD
2009-08-12,0.49,USD
2009-11-10,0.49,USD
2010-02-10,0.49,USD
2010-05-12,0.49,USD
2010-08-11,0.49,USD
2010-11-10,0.49,USD
2011-02-11,0.49,USD
2011-05-11,0.49,USD
2011-08-11,0.49,USD
2011-11-10,0.49,USD
2012-02-13,0.49,USD
2012-05-11,0.49,USD
2012-08-13,0.49,USD
2012-11-13,0.49,USD
2013-02-13,0.49,USD
2013-05-14,0.49,USD
2013-08-13,0.49,USD
2013-11-13,0.49,USD
2014-02-12,0.49,USD
2014-05-13,0.49,USD
2014-08-13,0.49,USD
2014-11-12,0.49,USD
2015-02-11,0.5,USD
2015-05-14,0.5,USD
2015-08-12,0.5,USD
2015-11-10,0.5,USD
2016-02-10,0.51,USD
2016-05-11,0.51,USD
2016-08-11,0.51,USD
2016-11-10,0.51,USD
2017-02-13,0.52,USD
2017-05-11,0.52,USD
2017-08-11,0.52,USD
2017-11-14,0.52,USD
2018-02-14,0.563,USD
2018-05-16,0.563,USD
2018-08-14,0.563,USD
2018-11-14,0.563,USD
2019-02-14,0.645,USD
2019-05-16,0.645,USD
2019-08-14,0.645,USD
2019-11-14,0.645,USD
2020-02-13,0.74,USD
2020-05-14,0.74,USD
2020-08-13,0.74,USD
2020-11-12,0.74,USD
2021-02-11,0.85,USD
2021-05-13,0.85,USD
2021-08-12,0.85,USD
2021-11-12,0.85,USD
2022-02-14,0.98,USD
2022-05-13,0.98,USD
2022-08-12,0.98,USD
2022-11-14,0.98,USD
2023-02-14,1.13,USD
2023-05-12,1.13,USD
2023-08-14,1.13,USD
2023-11-14,1.13,USD
2024-02-14,1.3,USD
2024-05-15,1.3,USD
2024-08-15,1.3,USD
2024-11-15,1.3,USD
2025-02-14,1.5,USD
